cam_06705_00965380421	No hi ha cap problema amb utilitzar els serveis de Gerebit.
cam_08935_01786979677	La Seat de Martorell necessita més treballadors qualificats.
cam_08967_01421517524	Encara recordo la cançoneta de l'anunci de Freixenet de quan érem petits.
cam_06279_01547145967	Van anar a Camprodon a veure la fàbrica de galetes, però no es van parar a fer una foto al pont.
cam_08935_01460962369	Alfred Bosch i Pascual fou candidat a l'alcaldia de Barcelona el 2015.
cam_04910_01159743965	El seu número es recorda millor en tres blocs de tres xifres: és el vuit-cents setanta-dos, nou-cents setanta-cinc, zero zero zero.
cam_04910_00431791014	El castell de Sant Martí Sarroca està dalt d'un turó.
cam_04787_01153070749	Sempre escolta les notícies de TV3.
cam_07140_01901419013	L'autor de la novel·la El domador de puces és Francesc Valls-Calzada.
cam_08664_01496553859	José Zaragoza té un parlar molt agressiu
cam_00762_01195797081	La xarxa de carreteres està controlada per Infraestructures Viàries de Catalunya.
cam_07140_00281087812	Sempre m'ha agradat el to folklòric dels Corrs
cam_06582_01886520024	Rosa Maria Graupera escrivia novel·les roses, però també cròniques de guerra.
cam_04484_00416637456	No hi ha cap problema amb Intermes Nets des de l'inici de la crisi.
cam_08935_00481209806	Tinc ganes de veure la pel·lícula Incerta Glòria, dirigida per l'Agustí Villaronga
cam_04787_01536917998	El logo de Grup Indonèsia és un monstre que sembla un Pokémon
cam_02689_02105283723	Els vesits de Mango em queden bé
cam_02992_00343622788	Les maquinària que ven Girbau està orientada a la neteja industrial.
cam_06279_01736119352	En van publicar un article a La Vanguardia, però no sé si és gaire fiable
cam_03115_00060567600	El conseller Ausàs anava a les reunions al Palau de la Generalitat.
cam_07140_00638203382	Mandy Moore no és una noia com cal
cam_03386_00809980701	Del Brasil han sortit algunes de les més grans models dels nostres temps, com ara Alessandra Ambrosio
cam_08664_00846270086	El 2026 els androides substituiran els polítics.
cam_02689_00573607082	A Mataró hi viu molta gent de Gàmbia i no en sé el perquè.
cam_06705_01962369837	Va ser un eminent geògraf català del segle divuit, plenament integrat a l'Espanya guanyadora dels Borbons.
cam_06705_01740832451	Les accions de Carburants Axoil han pujat més d'un cinquanta per cent.
cam_03115_01598892327	José Corbacho a vegades es fa molt pesat.
cam_08967_00651805032	Un altre dels reusencs notables va ser el geògraf, historiador i escriptor Josep Iglésies i Fort.
cam_06582_01441333027	Els productes de Johnson Controls Eurosit es distribueixen des de Tarragona.
cam_06705_01973373571	A Polinyà hi vaig treballar quan tenia divuit anys.
cam_08935_01530059517	L'enginyer de Fluidra em va resoldre tots els problemes de les màquines hidràuliques de la fábrica.
cam_08935_00780612722	Si a l’Escorxador Frigorífic d’Osona hi maten bestiar, no m'hi trobareu pas perquè no m'agraden els escorxadors.
cam_04484_01901967713	Vint-i dos cara de gos.
cam_02689_01304071204	El vol cap a Colòmbia feia escala a Amsterdam.
cam_00762_01755684641	La campanya de micromecenatge espera recollir més de set mil euros.
cam_03386_00199994363	Fernando Alonso té el coll molt gruixut perquè està molt fort
cam_00459_01976101592	El més conegut d'Islàndia és el bacallà, els volcans i l'equip nacional de futbol!
cam_06279_00236303122	La Pedra Gentil és una estructura del municipi de Vallgorguina.
cam_03386_01957675392	Penélope Cruz és la parella de Javier Bardem
cam_04484_01622288592	Hi ha hagut un incendi a Lliçà d'Amunt.
cam_04484_01081254941	M'agradaven tant les xocolatines Milka que sempre en tenia una bona reserva guardada a la nevera.
cam_00762_01326535170	Necessito un cub d'Avecrem per fer-me el dinar.
cam_08935_00390067645	Vam fer un projecte de petroquímica amb Repsol l'any passat
cam_03386_01287111611	El Big Bang és el model cosmològic de l'univers que considera que aquest s'ha expandit
cam_06279_01307398413	Montserrat, enfilem-nos al teulat, i tastem si el vi de l'any ha sortit bo.
cam_08967_00221215400	Un dels temes de treball dJoan Ruiz i Carbonell ha estat el dels discapacitats.
cam_00459_01578390631	El diari de Javier Godó és el més llegit de Catalunya
cam_00762_01943670641	Qui va guanyar la Lliga de Campions el 2003?
cam_02992_01624881549	L'únic que sé d’Els Amics de les Arts és que es tracta d'un grup de músics joves.
cam_08664_02002892736	A Barcelona tothom beu cervesa Damm però a València és més popular la Mahou.
cam_03115_01829339115	Facebook és la xarxa social més famosa del món.
cam_00459_00160813708	La torre Agbar enlluerna tota la ciutat quan es fa de nit.
cam_04910_00004101997	Diuen que com el Vallès no hi ha res, però l'Oriental o l'Occidental?
cam_08664_00602686824	Em sembla que la Denise Maestre està cridada a tenir un gran futur.
cam_04787_00531347264	Sant Quirze del Vallès és a prop de Sabadell.
cam_06705_01409008011	El poeta reusenc del dinou Joaquim Bartrina va escriure en català i castellà temes existencials impregnats de romanticisme.
cam_08664_01662320089	Cesc Fàbregas no era tan bo com tothom es pensava
cam_00459_00453522588	El diumenge s'esperen forts xàfecs pels voltants de Riudarenes.
cam_00762_01650781697	A Barcelona, hi viuen més d'un milió de persones.
cam_08664_01583725436	Saps si Bristol és a Anglaterra o als Estats Units?
cam_04910_01007039445	Francisco González Ledesma, amb el pseudònim de Silver Kane, va escriure novel·la policíaca.
cam_04787_00983967597	Aquest web només accepta targetes MasterCard.
cam_06582_00764639024	Hi ha una visita preparada per anar a veure les vinyes de Comte de Caralt.
cam_00762_00456165791	Repsol va tenir una crisi fa uns quants anys.
cam_02689_01046063374	Els nous pantalons de Nike són prou bons per córrer.
cam_03386_00103461479	A Sant Julià de Vilatorta encara es canten les tradicionals caramelles.
cam_08967_01325020888	Kia motors ha millorat molt la qualitat dels seus cotxes
cam_06705_01985250780	El bisbe de Solsona és jove.
cam_07140_00923042198	Els elàstics de Mango em van grans
cam_08664_01740593251	Va anar-se'n a Lovaina per un intercanvi durant els seus anys universitaris.
cam_04484_01919318040	A Vilassar de Dalt hi viu la meva amiga Raquel.
cam_04484_01082345005	Per què no li demanes a l'Antònia que t'ajudi?
cam_04787_01681539363	Sempre m'ha cridat l'atenció la imatge de les ampolles d'Anís del Mono, és una burla del senyor Darwin.
cam_06279_01107843560	A Brussel·les s'hi poden menjar uns musclos boníssims.
cam_06582_00613960778	Quan era petit era molt innocent, creia que a la Selva del Camp hi havia lleons.
cam_08967_00009716999	Diuen que Melbourne és una de les ciutats més boniques d'Austràlia.
cam_03115_01070929626	Ciments Molins Industrial és una de les empreses més famoses de Silicon Valley.
cam_00762_00434475933	El banc hac essa be ce ha rebut molts diners públics per al seu refinançament
cam_02689_01318609760	El meu amic Pere viu a prop del circuit de Silverstone i s'ha comprat un abonament anual.
cam_04787_01594311147	Els nens surten de l'escola a un quart i mig de cinc.
cam_04484_01024958015	Els jocs de Mattel passen de pares a fills
cam_00762_00652951943	Entenc que l'Himàlaia és el nom de la serralada on hi ha l’Everest.
cam_03115_00385083483	Vaig estar prenent el probiòtics d’Almirall dos mesos.
cam_06705_01812286993	Portugal ha guanyat l'Eurocopa 2016!
cam_03386_02067324482	L’empresa Grup Dos-cents no té gaire presència a Europa
cam_08967_01487141313	El pernil que es fa a York és popular arreu del món.
cam_02689_01175157845	Carreteres, autopistes i vies de tren travessen Montcada i Reixac.
cam_06582_00595593009	La meva cosina s'ha comprat una casa a Alcoletge.
cam_03386_00015378337	Julia Roberts canta i fa d'actriu.
cam_02689_00152503628	Feia basarda veure saltar la gimnasta Esther Moya.
cam_07140_01510445750	El meu cap segueix portant samarretes de Metallica com si fos un adolescent
cam_03115_00450031165	Les últimes noticies sobre Oracle no sonen gaire bé.
cam_08664_01148458128	Només fa falta que truquis a Motors Automòbils i Vehicles Industrials.
cam_02689_01181488420	Desconec si hi ha relació entre la ciutat de Winchester i l'escopeta del mateix nom.
cam_04484_00596967627	El grup Dusminguet era de la Garriga.
cam_06279_01005249740	La petroquímica Total és d’origen francès.
cam_00459_02026899595	Els pròxims tres dies són festa a Pennsilvània.
cam_08664_00618508476	Annabel Cervantes, geògrafa de formació, ha fet de l'escriptura la seva autèntica vocació.
cam_08967_00854040691	Vam anar amb tota la família a Port Aventura.
cam_07140_00503262512	Els calçotets de Calvin Klein són molt cars
cam_02992_00267778831	Se sabia totes les cançons de David Bisbal.
cam_08967_00964533114	Quins horaris té el Viena de la cantonada?
cam_08664_00687922932	Anem a Santa Cristina d'Aro a casa dels pares de la Marta.
cam_02992_00360312868	A Alexandria hi havia un far i una biblioteca.
cam_00459_01941793932	Al Pallars Sobirà s'hi troba la pica d'Estats, el cim més alt de Catalunya.
cam_06582_00507648012	Fa molt de temps que ningú no llegeix un poema de Cerverí de Girona fora d'un institut
cam_04787_00691303412	Portland és la ciutat més important d'Oregon.
cam_00762_01106975476	És la sisena de la llista.
cam_04910_00604826923	Quina moneda es fa servir a Bulgària?
cam_06279_00120377286	Aniré a buscar-te a la biblioteca de Montornès del Vallès.
